Dataset,#TrainingRelease,%training/total,%Defective/training,%Defective/testing,Classifier,Feature Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,oversampling,Sensitive Threshold,72,206,25,0,0.26,1,0.55,0.05
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,oversampling,Sensitive Learning,54,82,149,18,0.4,0.75,0.79,0.3
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,undersampling,No,72,191,40,0,0.27,1,0.5,0.09
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,undersampling,Sensitive Threshold,72,205,26,0,0.26,1,0.56,0.06
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,undersampling,Sensitive Learning,5,27,204,67,0.16,0.07,0.52,-0.06
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,SMOTE,No,72,126,105,0,0.36,1,0.55,0.28
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,SMOTE,Sensitive Threshold,72,186,45,0,0.28,1,0.6,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,SMOTE,Sensitive Learning,11,98,133,61,0.1,0.15,0.46,-0.23
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,No,No,10,31,200,62,0.24,0.14,0.48,0.01
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,No,Sensitive Threshold,72,138,93,0,0.34,1,0.7,0.24
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,No,Sensitive Learning,72,135,96,0,0.35,1,0.49,0.25
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,oversampling,No,11,94,137,61,0.1,0.15,0.4,-0.22
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,oversampling,Sensitive Threshold,29,148,83,43,0.16,0.4,0.38,-0.16
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,oversampling,Sensitive Learning,34,35,196,38,0.49,0.47,0.72,0.33
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,undersampling,No,11,89,142,61,0.11,0.15,0.42,-0.21
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,undersampling,Sensitive Threshold,11,148,83,61,0.07,0.15,0.26,-0.34
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,undersampling,Sensitive Learning,11,117,114,61,0.09,0.15,0.45,-0.28
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,SMOTE,No,10,37,194,62,0.21,0.14,0.48,-0.02
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,SMOTE,Sensitive Threshold,14,131,100,58,0.1,0.19,0.31,-0.28
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,SMOTE,Sensitive Learning,22,134,97,50,0.14,0.31,0.46,-0.2
