Dataset,#TrainingRelease,%training/total,%Defective/training,%Defective/testing,Classifier,Feature Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
AVRO,1,1.81,20,21.43,Naive Bayes,Greedy Backward,oversampling,No,0,0,77,21,NaN,0,0.67,0
AVRO,1,1.81,20,21.43,Naive Bayes,Greedy Backward,oversampling,Sensitive Threshold,0,0,77,21,NaN,0,0.5,0
AVRO,1,1.81,20,21.43,Naive Bayes,Greedy Backward,oversampling,Sensitive Learning,21,77,0,0,0.21,1,0.39,0
AVRO,1,1.81,20,21.43,Naive Bayes,Greedy Backward,undersampling,No,2,6,71,19,0.25,0.1,0.68,0.02
AVRO,1,1.81,20,21.43,Naive Bayes,Greedy Backward,undersampling,Sensitive Threshold,6,12,65,15,0.33,0.29,0.56,0.14
AVRO,1,1.81,20,21.43,Naive Bayes,Greedy Backward,undersampling,Sensitive Learning,21,77,0,0,0.21,1,0.46,0
AVRO,1,1.81,20,21.43,Naive Bayes,Greedy Backward,SMOTE,No,0,0,77,21,NaN,0,0.79,0
AVRO,1,1.81,20,21.43,Naive Bayes,Greedy Backward,SMOTE,Sensitive Threshold,8,6,71,13,0.57,0.38,0.65,0.34
AVRO,1,1.81,20,21.43,Naive Bayes,Greedy Backward,SMOTE,Sensitive Learning,5,6,71,16,0.45,0.24,0.7,0.19
AVRO,2,4.04,20.79,15.53,Random Forest,No,No,No,6,2,85,10,0.75,0.38,0.95,0.44
AVRO,2,4.04,20.79,15.53,Random Forest,No,No,Sensitive Threshold,16,27,60,0,0.37,1,0.84,0.41
AVRO,2,4.04,20.79,15.53,Random Forest,No,No,Sensitive Learning,14,11,76,2,0.56,0.88,0.94,0.61
AVRO,2,4.04,20.79,15.53,Random Forest,No,oversampling,No,3,9,78,13,0.25,0.19,0.57,0.09
AVRO,2,4.04,20.79,15.53,Random Forest,No,oversampling,Sensitive Threshold,16,85,2,0,0.16,1,0.51,0.01
AVRO,2,4.04,20.79,15.53,Random Forest,No,oversampling,Sensitive Learning,16,87,0,0,0.16,1,0.74,0
AVRO,2,4.04,20.79,15.53,Random Forest,No,undersampling,No,13,8,79,3,0.62,0.81,0.92,0.64
AVRO,2,4.04,20.79,15.53,Random Forest,No,undersampling,Sensitive Threshold,16,82,5,0,0.16,1,0.53,0.02
AVRO,2,4.04,20.79,15.53,Random Forest,No,undersampling,Sensitive Learning,7,33,54,9,0.17,0.44,0.55,0.04
AVRO,2,4.04,20.79,15.53,Random Forest,No,SMOTE,No,5,3,84,11,0.62,0.31,0.94,0.35
AVRO,2,4.04,20.79,15.53,Random Forest,No,SMOTE,Sensitive Threshold,16,61,26,0,0.21,1,0.65,0.12
AVRO,2,4.04,20.79,15.53,Random Forest,No,SMOTE,Sensitive Learning,14,11,76,2,0.56,0.88,0.87,0.61
AVRO,2,4.04,20.79,15.53,Random Forest,Best first,No,No,13,5,82,3,0.72,0.81,0.96,0.72
AVRO,2,4.04,20.79,15.53,Random Forest,Best first,No,Sensitive Threshold,16,24,63,0,0.4,1,0.86,0.45
AVRO,2,4.04,20.79,15.53,Random Forest,Best first,No,Sensitive Learning,16,23,64,0,0.41,1,0.94,0.46
AVRO,2,4.04,20.79,15.53,Random Forest,Best first,oversampling,No,6,9,78,10,0.4,0.38,0.65,0.28
AVRO,2,4.04,20.79,15.53,Random Forest,Best first,oversampling,Sensitive Threshold,16,84,3,0,0.16,1,0.52,0.01
AVRO,2,4.04,20.79,15.53,Random Forest,Best first,oversampling,Sensitive Learning,5,10,77,11,0.33,0.31,0.55,0.2
