RELEASE,FILENAME,SIZE,LOC_added,MAX_LOC_Added,AVG_LOC_Added,CHURN,MAX_Churn,AVG_Churn,NR,NAUTH,CHGSETSIZE,MAX_ChgSet,AVG_ChgSet,BUGGYNESS
2,src/test/java/org/apache/avro/TestProtocolSpecificMeta.java,46,46,46,46,46,46,46,1,1,12,12,12,No
2,src/test/java/org/apache/avro/TestReflect.java,155,127,71,31,100,54,25,4,1,50,23,23,Yes
2,src/test/java/org/apache/avro/TestSchema.java,292,76,37,19,59,37,14,4,1,68,23,23,Yes
2,src/test/java/org/apache/avro/io/TestBinaryDecoder.java,78,10,10,10,0,0,0,1,1,15,15,15,No
2,src/test/java/org/apache/avro/io/TestBlockingIO.java,483,45,45,45,16,16,16,1,1,15,15,15,No
2,src/test/java/org/apache/avro/io/TestBlockingIO2.java,163,163,163,163,163,163,163,1,1,2,2,2,No
2,src/test/java/org/apache/avro/io/TestResolvingIO.java,213,195,155,97,-147,-53,-73,2,1,39,15,15,No
2,src/test/java/org/apache/avro/io/TestResolvingIO_resolving.java,120,120,103,60,120,103,60,2,1,17,2,2,No
2,src/test/java/org/apache/avro/io/TestValidatingIO.java,844,435,361,217,197,172,98,2,1,39,15,15,No
2,src/test/java/org/apache/avro/test/TestInvocationReporter.java,35,0,0,0,-35,-35,-35,1,1,15,15,15,No
2,src/test/java/org/apache/avro/test/TestOutputInterceptor.java,39,0,0,0,-39,-39,-39,1,1,15,15,15,No
2,src/test/java/org/apache/avro/test/TestSuiteInterceptor.java,39,0,0,0,-39,-39,-39,1,1,15,15,15,No
2,src/java/org/apache/avro/io/ParsingTable.java,383,0,0,0,-383,-383,-383,1,1,24,24,24,No
2,src/java/org/apache/avro/io/ResolvingTable.java,489,0,0,0,-489,-489,-489,1,1,24,24,24,No
2,src/test/java/org/apache/avro/io/TestParsingTable.java,222,0,0,0,-222,-222,-222,1,1,24,24,24,No
2,src/test/java/org/apache/avro/io/TestResolvingTable.java,406,0,0,0,-406,-406,-406,1,1,24,24,24,No
3,src/java/org/apache/avro/AvroRuntimeException.java,26,1,1,1,1,1,1,1,1,3,3,3,No
3,src/java/org/apache/avro/AvroTypeException.java,26,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/Protocol.java,355,15,15,15,13,13,13,1,1,25,25,25,Yes
3,src/java/org/apache/avro/Schema.java,775,95,95,95,46,46,46,1,1,25,25,25,Yes
3,src/java/org/apache/avro/SchemaParseException.java,26,1,1,1,1,1,1,1,1,3,3,3,No
3,src/java/org/apache/avro/file/DataFileConstants.java,38,38,38,38,38,38,38,1,1,3,3,3,No
3,src/java/org/apache/avro/file/DataFileReader.java,227,19,19,19,8,8,8,1,1,3,3,3,No
